season,game_date,home_team,away_team,home_score,away_score,outcome,elo_diff,ppg_diff,goals_for_diff,goals_against_diff,form_5g_diff,rest_days_diff,home_advantage_diff,xg_for_diff,xg_against_diff,possession_diff,draw_tendency_diff,travel_distance,midweek_flag,altitude_flag,is_home,poisson_home,poisson_draw,poisson_away
2019,2019-03-23,DAL,COL,2,1,H,11.9651,0.6667,-0.3333,-1.3333,0.2222,2,0.5,-0.3833,-0.9333,23.0667,-0.3333,0.2161,0,0,1.0,0.3198,0.2476,0.4326
2019,2019-03-23,PHI,CLB,3,0,H,-40.3853,-2.0,-0.6667,1.6667,-0.6667,-1,0.5,0.3167,0.2167,-14.1333,0.0,0.1381,0,0,1.0,0.4385,0.2369,0.3245
2019,2019-03-24,LAFC,RSL,2,1,H,23.797,1.0,2.0,-0.6667,0.3333,0,0.0,0.5667,0.05,3.2333,0.0,0.1912,0,0,1.0,0.4955,0.2047,0.2999
2019,2019-03-24,NE,CIN,0,2,A,-18.2355,-1.0,-0.6667,0.3333,-0.3333,0,-1.0,-0.2,-0.7667,0.3333,0.0,0.2415,0,0,1.0,0.3466,0.2591,0.3943
2019,2019-03-30,CHI,RBNY,1,0,H,-19.3923,-1.0,-0.3333,1.3333,-0.3333,7,-0.5,0.4667,0.55,11.1667,0.0,0.2356,0,0,1.0,0.4694,0.1962,0.3344
2019,2019-03-30,NE,MIN,2,1,H,-49.0322,-1.75,-1.9167,0.3333,-0.5833,-7,0.6667,-0.6167,-0.6083,-0.875,0.25,0.3705,0,0,1.0,0.2799,0.2293,0.4908
2019,2019-03-30,SKC,MTL,7,1,H,-12.6687,-0.6667,-0.6667,-0.3333,-0.2222,-2,1.6667,-0.1667,0.1667,12.5667,0.3333,0.39,0,0,1.0,0.3553,0.2214,0.4233
2019,2019-03-30,SJ,LAFC,0,5,A,-56.0291,-2.5,-1.8333,1.75,-0.8333,8,-1.0,-1.0292,0.6833,4.15,-0.25,0.1027,0,0,1.0,0.2107,0.1932,0.5961
2019,2019-03-30,CLB,ATL,2,0,H,14.7614,1.0833,0.3333,-0.3333,0.3611,-6,0.0,-0.0083,0.0333,-8.925,-0.4167,0.1454,0,0,1.0,0.359,0.2767,0.3643
2019,2019-03-30,CIN,PHI,0,2,A,21.6769,0.75,0.5,-0.25,0.25,-1,0.1667,-0.2625,0.6375,-1.2,0.0,0.1672,0,0,1.0,0.3193,0.2331,0.4476
